data;hora;idade;sexo;sit_vitima;log1;tipo_acid;auto;taxi;onibus_urb;onibus_met;onibus_int;caminhao;moto;carroca;bicicleta;outro;lotacao;dia_sem;periododia;fx_et;tipo_veic
05/01/2017 00:00;00:15:00.0000000;29;MASCULINO;CONDUTOR;R DOM PEDRO I;ABALROAMENTO;1;0;0;0;0;0;2;0;0;0;0;QUINTA-FEIRA;MADRUGADA;26 A 35;MOTOCICLETA
05/01/2017 00:00;00:15:00.0000000;26;MASCULINO;CONDUTOR;R DOM PEDRO I;ABALROAMENTO;1;0;0;0;0;0;2;0;0;0;0;QUINTA-FEIRA;MADRUGADA;26 A 35;MOTOCICLETA
05/01/2017 00:00;13:50:00.0000000;46;MASCULINO;CONDUTOR;R VOLUNTARIOS DA PATRIA;ABALROAMENTO;2;0;0;0;0;0;0;0;0;0;0;QUINTA-FEIRA;TARDE;46 A 59;AUTOMOVEL
05/01/2017 00:00;10:00:00.0000000;40;MASCULINO;PEDESTRE;R WASHINGTON LUIZ;ATROPELAMENTO;0;0;1;0;0;0;0;0;0;0;0;QUINTA-FEIRA;MANHA;36 A 45;NENHUM
06/01/2017 00:00;14:00:00.0000000;26;MASCULINO;CONDUTOR;AV ASSIS BRASIL;ABALROAMENTO;1;0;0;0;0;0;1;0;0;0;0;SEXTA-FEIRA;TARDE;26 A 35;MOTOCICLETA
06/01/2017 00:00;15:40:00.0000000;35;FEMININO;PEDESTRE;AV ASSIS BRASIL;ATROPELAMENTO;0;0;0;0;0;0;1;0;0;0;0;SEXTA-FEIRA;TARDE;26 A 35;NENHUM
06/01/2017 00:00;23:40:00.0000000;31;MASCULINO;CONDUTOR;AV BENTO GONCALVES;ABALROAMENTO;1;0;0;0;0;0;1;0;0;0;0;SEXTA-FEIRA;NOITE;26 A 35;MOTOCICLETA
06/01/2017 00:00;08:10:00.0000000;27;MASCULINO;CONDUTOR;AV CEARA;ABALROAMENTO;1;0;0;0;0;0;1;0;0;0;0;SEXTA-FEIRA;MANHA;26 A 35;MOTOCICLETA
06/01/2017 00:00;16:30:00.0000000;23;MASCULINO;CONDUTOR;AV DA CAVALHADA;COLISAO;1;0;0;0;0;0;1;0;0;0;0;SEXTA-FEIRA;TARDE;18 A 25;MOTOCICLETA
06/01/2017 00:00;14:40:00.0000000;34;MASCULINO;CONDUTOR;AV IPIRANGA;ABALROAMENTO;1;0;0;0;0;0;1;0;0;0;0;SEXTA-FEIRA;TARDE;26 A 35;MOTOCICLETA
06/01/2017 00:00;20:40:00.0000000;47;MASCULINO;CONDUTOR;AV JUCA BATISTA;ABALROAMENTO;1;0;0;0;0;0;0;0;1;0;0;SEXTA-FEIRA;NOITE;46 A 59;BICICLETA
